index,rain,temp,,,,,,,
6/2/2022 16:10,7.6,71.11,,,,,,,
6/2/2022 16:15,7.6,70.95,,,,,,,
6/2/2022 16:20,7.1,69.72,,,,,,,
6/2/2022 16:25,7.1,71.26,,,,,,,
6/2/2022 16:30,7.1,70.99,,,,,,,
6/2/2022 16:35,7.1,70.88,,,,,,,
6/2/2022 16:40,7.1,71.22,,,,,,,
6/2/2022 16:45,7.1,72.5,,,,,,,
6/2/2022 16:50,7.1,71.26,,,,,,,
6/2/2022 16:55,7.1,72.34,,,,,,,
6/2/2022 17:00,7.1,72.07,,,,,,,
6/2/2022 17:05,7.1,71.92,,,,,,,
6/2/2022 17:10,7.1,71.18,,,,,,,
6/2/2022 17:15,7.1,71.11,,,,,,,
6/2/2022 17:20,7.1,70.76,,,,,,,
6/2/2022 17:25,7.1,71.11,,,,,,,
6/2/2022 17:30,7.1,71.26,,,,,,,
6/2/2022 17:35,7.1,71.03,,,,,,,
6/2/2022 17:40,7.1,70.64,,,,,,,
6/2/2022 17:45,7.1,71.15,,,,,,,
6/2/2022 17:50,7.1,71.76,,,,,,,
6/2/2022 17:55,7.1,71.03,,,,,,,
6/2/2022 18:00,7.1,71.18,,,,,,,
6/2/2022 18:05,7.1,71.57,,,,,,,
6/2/2022 18:10,7.1,71.69,,,,,,,
6/2/2022 18:15,7.1,71.61,,,,,,,
6/2/2022 18:20,7.1,71.73,,,,,,,
6/2/2022 18:25,7.1,71.61,,,,,,,
6/2/2022 18:30,7.1,71.18,,,,,,,
6/2/2022 18:35,7.1,71.3,,,,,,,
6/2/2022 18:40,7.1,71.57,,,,,,,
6/2/2022 18:45,7.1,71.84,,,,,,,
6/2/2022 18:50,7.1,72.27,,,,,,,
6/2/2022 18:55,7.1,72.57,,,,,,,
6/2/2022 19:00,7.1,73.5,,,,,,,
6/2/2022 19:05,7.1,73.5,,,,,,,
6/2/2022 19:10,7.1,72.88,,,,,,,
6/2/2022 19:15,7.1,72.57,,,,,,,
6/2/2022 19:20,7.1,72.54,,,,,,,
6/2/2022 19:25,7.1,72.65,,,,,,,
6/2/2022 19:30,7.1,73.77,,,,,,,
6/2/2022 19:35,7.1,73.31,,,,,,,
6/2/2022 19:40,7.1,74.58,,,,,,,
6/2/2022 19:45,7.1,73.77,,,,,,,
6/2/2022 19:50,7.1,73.42,,,,,,,
6/2/2022 19:55,7.1,74.39,,,,,,,
6/2/2022 20:00,7.1,73.77,,,,,,,
6/2/2022 20:05,7.1,73.66,,,,,,,
6/2/2022 20:10,7.1,74,,,,,,,
6/2/2022 20:15,7.1,74.12,,,,,,,
6/2/2022 20:20,7.1,73.85,,,,,,,
6/2/2022 20:25,7.1,73.46,,,,,,,
6/2/2022 20:30,7.1,72.88,,,,,,,
6/2/2022 20:35,7.1,73.04,,,,,,,
6/2/2022 20:40,7.1,73.12,,,,,,,
6/2/2022 20:45,7.1,73.42,,,,,,,
6/2/2022 20:50,7.1,72.88,,,,,,,
6/2/2022 20:55,7.1,72.88,,,,,,,
6/2/2022 21:00,7.1,72.34,,,,,,,
6/2/2022 21:05,7.1,70.68,,,,,,,
6/2/2022 21:10,7.1,69.72,,,,,,,
