1h_RF,Tem
4.7,53.04
4.7,52.5
4.7,52.23
4.7,51.76
4.7,50.88
4.7,51.07
4.7,51.15
4.7,51.03
4.7,51.26
4.7,51.11
4.7,50.68
4.7,50.33
5.3,49.37
5.3,49.56
4.7,50.53
5.3,49.99
5.3,49.25
5.3,49.45
4.7,49.29
5.3,48.67
5.3,48.91
5.3,49.33
5.3,49.33
5.3,49.41
5.3,49.56
5.3,49.37
5.3,49.22
5.3,48.67
5.3,47.86
5.3,47.25
5.9,47.28
5.9,46.98
5.9,46.51
6.5,46.47
6.5,45.89
6.5,46.24
6.5,46.24
6.5,46.59
5.9,46.82
6.5,46.98
5.9,47.79
5.9,47.36
5.9,46.86
5.9,46.82
5.9,47.13
6.5,46.9
5.9,47.59
5.9,47.44
5.9,48.1
5.9,48.13
5.9,47.75
5.9,48.13
5.3,49.41
5.9,49.29
5.9,48.52
5.9,48.1
5.9,48.06
5.9,48.25
5.9,48.37
5.9,48.4
5.9,48.94
5.9,49.64
5.9,50.61
5.9,50.99
5.3,51.15
5.9,50.99
5.3,50.95
5.3,50.99
5.9,51.26
5.9,51.96
5.9,52.07
5.9,52.19
5.9,52.73
5.9,53.11
5.3,53.5
5.3,53.93
5.9,54.58
5.3,55.2
5.3,55.62
5.9,56.13
5.9,56.9
5.9,57.56
5.9,57.83
5.9,57.71
5.3,58.25
5.3,58.52
5.9,58.98
5.3,59.06
5.3,58.56
5.3,58.71
5.3,58.95
5.3,59.83
5.9,61.07
5.9,60.99
5.9,60.84
5.9,61.42
5.9,61.38
5.9,62.11
5.9,62.38
5.9,62.88
5.9,63.19
5.9,63.89
5.9,64
5.9,64.27
5.3,63.66
5.9,65.28
5.9,64.43
5.3,64.54
5.3,64.16
5.3,63.85
5.3,64.35
5.3,65.39
5.3,64.78
5.3,65.28
5.9,65.93
5.3,65.12
5.3,65.74
5.9,66.01
5.9,66.24
5.9,65.89
5.9,66.86
5.9,66.9
5.9,67.25
5.9,68.06
5.9,67.71
5.9,67.63
5.9,67.75
5.9,68.25
5.3,68.79
5.3,68.56
5.3,68.44
5.9,68.87
5.9,69.6
5.9,69.29
5.9,68.91
5.9,69.72
5.9,69.37
5.9,69.72
5.3,69.72
5.9,70.14
5.9,69.99
5.9,70.37
5.9,70.37
5.9,70.1
5.9,70.88
5.3,69.95
5.3,70.91
5.3,70.37
5.3,70.45
5.9,71.76
5.9,71.57
5.9,72.34
5.9,71.92
5.9,72.42
5.9,72.15
5.3,71.57
5.9,71.96
5.9,71.73
5.9,73
5.9,73.39
5.9,72.38
5.3,72.88
5.3,71.96
5.3,72
5.3,73.04
5.3,72.96
5.3,72.81
5.3,73.35
5.3,73.19
5.3,72.11
5.3,73.42
5.3,71.15
5.3,72.81
5.3,71.61
5.3,71.18
5.3,69.91
5.3,71.3
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
